,Year,Month,Carrier,Count,WEATHER_DELAY,Avg
109,2013,04,VX,576,2210.0,3.8368055555555554
110,2013,04,WN,4682,7317.0,1.5627936779154208
111,2013,04,YV,333,89.0,0.2672672672672673
112,2013,05,9E,694,1108.0,1.5965417867435159
113,2013,05,AA,2489,5728.0,2.3013258336681397
114,2013,05,AS,453,631.0,1.3929359823399559
115,2013,05,B6,779,502.0,0.6444159178433889
116,2013,05,DL,3694,5861.0,1.5866269626421223
117,2013,05,EV,1185,2240.0,1.890295358649789
118,2013,05,F9,910,367.0,0.4032967032967033
119,2013,05,FL,615,301.0,0.4894308943089431
120,2013,05,MQ,2227,10222.0,4.590031432420297
121,2013,05,NK,0,0.0,0.0
122,2013,05,OO,1599,1984.0,1.2407754846779238
123,2013,05,UA,3630,3943.0,1.0862258953168045
124,2013,05,US,3429,4446.0,1.2965879265091864
125,2013,05,VX,829,4095.0,4.939686369119421
126,2013,05,WN,4723,9339.0,1.9773449078975227
127,2013,05,YV,411,2016.0,4.905109489051095
128,2013,06,9E,809,2988.0,3.69344870210136
129,2013,06,AA,3238,12762.0,3.941321803582458
130,2013,06,AS,621,260.0,0.41867954911433175
131,2013,06,B6,1340,2528.0,1.8865671641791044
132,2013,06,DL,6367,22528.0,3.5382440709910474
133,2013,06,EV,1813,3157.0,1.7413127413127414
134,2013,06,F9,705,1371.0,1.9446808510638298
135,2013,06,FL,1137,2577.0,2.266490765171504
136,2013,06,MQ,2925,22483.0,7.6864957264957265
137,2013,06,NK,0,0.0,0.0
138,2013,06,OO,2111,2416.0,1.1444812884888678
139,2013,06,UA,5343,9796.0,1.8334269137188846
140,2013,06,US,4870,15588.0,3.2008213552361395
141,2013,06,VX,1057,3291.0,3.1135288552507094
142,2013,06,WN,5370,9837.0,1.8318435754189943
143,2013,06,YV,483,2620.0,5.424430641821946
144,2013,07,9E,823,2245.0,2.7278250303766707
145,2013,07,AA,2857,3676.0,1.2866643332166607
146,2013,07,AS,941,586.0,0.6227417640807651
147,2013,07,B6,1674,2717.0,1.6230585424133812
148,2013,07,DL,7044,20080.0,2.8506530380465644
149,2013,07,EV,1657,3411.0,2.0585395292697646
150,2013,07,F9,982,631.0,0.6425661914460286
151,2013,07,FL,1080,3272.0,3.0296296296296297
152,2013,07,MQ,2836,6576.0,2.318758815232722
153,2013,07,NK,0,0.0,0.0
154,2013,07,OO,1994,1996.0,1.0010030090270812
155,2013,07,UA,5000,6541.0,1.3082
156,2013,07,US,5020,8842.0,1.7613545816733067
157,2013,07,VX,1180,3121.0,2.6449152542372882
158,2013,07,WN,5138,10665.0,2.0757103931490852
159,2013,07,YV,524,279.0,0.5324427480916031
160,2013,08,9E,505,576.0,1.1405940594059405
161,2013,08,AA,2251,3901.0,1.7330075521990227
162,2013,08,AS,877,1709.0,1.9486887115165337
163,2013,08,B6,1306,704.0,0.5390505359877489
